HashOwner,HashApp,HashFunction,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
9600d8ea0d18856a6f1fa5672306ef55afac8b5e32e956579ab0f1a8c347bf4b,b58fc0a0f39c45c5f49fbb0239646598f5ebf2514eb4adc08c2ae02d362c22bf,37b5b44a20f118f26bafcfe8905236218dbb23c4c0dea3988b0122966dcdc2ef,10018,288,10000.0,10874.0,10000,10000,10005,10010,10015,10344,10874
e333879ea4145125a9e4fd3e202af49410d8fe81983d637eefbc8d0b8d722171,858120e91da58c267679183c8c2b0b65b54839a36318304f594109485da05d73,3087576c57aaf083cab78f15461f8efce6607c2facd3e54f425072a3b2506708,138,288,1.0,1457.0,1,1,1,2,8,974,1457
fca2310ccf911080b19d6e90e80e63e4afdecb3ead06a09bbb3832558ec368f3,f3676eb37576dc5aeaacce9267aa0fc4360ec1e437cf2404a638c57dee55d89a,9ae854de13d40bb9082cfcc9cf9d5832431b5a532ec3d6f56a7705efaa58e8d9,1028,1440,46.0,33013.0,46,46,62,93,1010,8912,33013
c91e30a843dfce0beadf2b658d0dee6f346b8c7d97eeb01b15a710e16dca41d9,07457ad647bcb99507cd7e558946aaba4579a8054421e0623f6872a9e32182e5,e85a8260e660d9b5c19360f58d9c6fa99f95d13f9ea82e43ef1017b20fae1699,583,288,13.0,4509.0,13,21,53,104,962,3560,4509
4a8c839c302c9e4c597dfa52c8ef8db10d082dda343c7792e9b24b3649c029bd,f0e069c2ee97e2e26804686df4dae2e58ffaf5050ca4c84cd55fadeae95429d5,5c598d0743ce77f43d6924465a037e230c59102c6e3764bc08b928fec26d4bcb,1862,288,716.0,3464.0,716,751,1451,1808,2214,3331,3464
1e5f2b93256d76bafd67be173abf7aad87a405927a7bdfedd05c17b95e3375a8,835a41a01d9790393487097b456e1efc14f1af9f0dc51272728beaab4503a07e,2a2de38db4cc19a5fce3ea9ce392ba985fd9dce865a7d439c7bfa503f9b9bb90,0,288,0.0,17.0,0,0,0,0,0,0,17
02efd0a1e4add95efc825c128f60380d488aebaa5655ee2ff5ca81dfbc5f4362,a9ac29f04a93596106f581a6c6eaeedc2e0dc8514c10c7a94085db9e63a8eb98,7472df890869186c3a8d1359f2645c8a7567db39a68bc6094bf40e7384207e3f,19,3515,6.0,5387.0,6,6,7,7,8,178,5387
c21e5054a535517fafc56f185449e08d332c2e9287d6f33cfce5d72b42033c3e,e9074dab7d9e7ecc1cbd0245012f7a80a905d72f6e24d09b3b3d0c1d8137b3cb,35196c9a3cee4e22d988206fbd9c69327d752d7e77c145cea2a4c5babd743855,137050,955,25.0,300372.0,25,56,68533,124411,192179,293093,300372
30a876e80855f9f46187a876eb5d2d39a93fb3d1b9f31eb7d3b2859ee5a90ab1,8f044447f82ae4606a5762193ff61b14dbf25e24a816197e01a73fd8eba1a93e,7ea6943a3283f724c12c50663db0f70b1f95d21e3966c2b10f1256c53053852a,35,3066,18.0,2018.0,18,22,27,30,35,90,1561
b602a90cb8ff998be304c3b3c0d755ae638062ca83dc4fe237cda67a2a1899f0,3d7322c54ad4c156f573c247ae7addef21e87b588712204d439465358c03d3bf,6641a525ff49a5a47695d10f2347760569aac6a94b442ecd0b9527f9367d67b5,30,720,3.0,1558.0,3,3,8,8,9,848,1558
a13876e7f5f1150478cae3c59d1924a385e62076dcc68970cb55df18ab72c969,0d5134c5b914e413573a538688676d188b6acf2b2d090253757029a816f87cfc,0f6ad4a21372a0c1c319392c078c4eb047f709fb795876869258aa3474b6e191,9087,60,6923.0,16162.0,6923,6923,7374,7816,9752,16162,16162
6c3d59649e35dbb123096085713161551af4fd6da6396ae73e9fb5da0c7d68db,215f4b669020102ca54d8a5d7f6bf45fd25bb2a90ce9dc6f37784518c5936e72,e4c9b86e49fc4881785f57664c7080bfe0cbf49fb876216af1214f227685cb15,119,289,0.0,772.0,0,0,1,1,8,766,772
efd511e7a6bb48fbff316406582068e230ca1ce80e7bfa67cf2e398acd43cb35,7bd7e2bf570cbfd6ebd72c628aa8bff1fc9627b8052d8960fd94609af575d663,cbb155892986a500d75907ab964bf26e67caee4e2fee16607e5e36a558c7c07d,26,288,0.0,1099.0,0,0,0,0,0,1008,1099
f96e634eb2b18b9b608122195770dcfe4cbc000ee90e5c967940cb71cec002a5,731cb2669db506b18bfca33c1fe8f63a1bf8ed671bbeda51cd18ad783d2853eb,07f58313aa95ffc4d64c9a6a8967a8a6adb416d6b2caf430c21b22378af1e525,933,720,17.0,12037.0,17,21,60,858,1090,5558,12037
d61f941f624ea4a33f5f76f2b0ed748d382b56e518ed2e900c6fd63905d92b7a,ba35a84448835efcc4539208989259c90935737e010d3d8e2293f97c4ab8ba72,d666f873289af339842ec02fc2c984077f78dea7c7c23aac034b4c33492c8557,4635,96,296.0,20272.0,296,296,546,1942,7334,20272,20272
8c221906a641b9edb97de8a063644d1dd14413d937ae6b335c6dc1f39afebe01,a276948d19284f11116c5c7b384d40a1f711e8a3842a6eae75e4957e2436be7b,6f4cfac06dcf33012ed7a81dd70f35507e348d6b1d337507385aef8c890e81ce,11027,24,6009.0,21053.0,6009,6009,7066,9235,15451,21053,21053
6b0e8f7e365dbf31fd3876c4a6af805a299c4a391d49b3937314453d4fd10874,896e4afbea0a739c64ff343850e76ebde14bb693cb847992ce40bba868c2c145,2db2c2e0bdd12a51938841860683879f10fee466a186a4c2af249906bc66f9d7,2339,96,296.0,12037.0,296,296,454,608,2770,12037,12037
14a9dcab295ce83ab3ef0bc73cf1e6d3c1241007067bda7bafe64c3f6877baaa,36119464191480d8182c3431ca6d11688d6d72b50b6f72ec81d8f2ed9cdeb7c2,d2feb9b9d434e30df24e30888d819b1913a2871bfb28c9f9aedf7f142f336350,9562,1,9562.0,9562.0,9562,9562,9562,9562,9562,9562,9562
06251669ac5f2e14073bdc770578f97085cb4a623838a7a530b91351170d02a0,c0dbf8fb69a23368affc2747834d6dfab9cdaaa7e1dc3a28d0c9888c12b89b81,64ffa759cc1fbcbd935b96d1f6b182ebd12f648a6a9783eb7a676f18ca86b98b,2291,50,828.0,7053.0,828,828,1234,1799,3048,7053,7053
30422a46bef1badfbf433ec88f7b93b6c0b4468ed03a646c342bcaed867d6034,bdf65506ab689c4d81ff909c6a021d77163b0e616fa4cefc8b61443827dfb443,c1343fb5b3b7294034c8170c1717f0c22c6e6f858d00055db8f15ade216ddcab,813,1,813.0,813.0,813,813,813,813,813,813,813
d906c244adc52b6fcb91495f0edf4841d67e0e257c90f4b140e5dc883644c097,d0c0307ce95c64bc5bc716aca3be6d75362001f49340eeae14c16eb17d0df249,a6b82195c5ff2c9ba59953c48ffe25d9ec092fb4874e0c3b23db18cc53c281d5,4,11483,0.0,1239.0,0,0,0,0,1,191,751
7acadb310f118ef21fec404097b3c6ab094cc949e922c7c12acc9f77b0ab22a0,d6c57e141ad0f564842c925b294ecaeee27cc45e9e40b751c49dbd6f08473aa7,3036a9d0dd2d44c4de43dce4c112d0e8ef9ddd449a16ad51d5fae474f0f1dd29,29,1440,11.0,593.0,11,15,15,31,31,93,593
eb95ddd0d6c8192b4ffd80ecc3e2e01aeb24eef7c20262c26ef6a3f34ccbd7cb,7b1138bdfbf2106f2a5e58f01693e8e63f9526e38665b6ace1a0a23d056e1393,b2d292a8c89750454cd027cbc3a51d119000d4e6d4fbfc2b69f38e4a168fb553,273,120,20.0,884.0,20,20,148,293,335,874,884
52ca2abb2c7d0464eb2029bf916e3690101405232e1182d4192dd6deb4190314,5c956aeddb49fa66f17f869b76250c5ff320ef0739598801e44ead10037bf24e,f669c9b3a576cf77cacf779c3f8c2bcaa58b5f14ccca0da64d18b6682ea9563c,9762,3,7575.0,12194.0,7575,7575,7575,9518,12194,12194,12194
4c1f2984bda6872027cdb182a8fbb059c25ec2ea2ae3a43ff2d57b719db0be2d,127ee2dfbd34efde36de38259b6e40e441dcb99bce64a477c090875a79ee63e6,b47507e195b3c8c280d0d04cc6e1965867e883289a75fc253234d41163b6d6f1,9361,145,356.0,300038.0,487,507,677,859,1296,300021,300038
8bf98b528af956d66b4aa83a9ae866f18b454ec7eca6f22244e9def6146a40f6,df0a85ee173160f998418d3fb3b3c13585fbec060621f80fa3a417f7e85cbb63,913cde166a84cb3e1a952dfd69efe931c395ac04b81bd0124de724b5f60510e6,6210,12,3203.0,10995.0,3203,3203,4375,5663,6064,10995,10995
15b0709658399d207f915d89197845a7c9619e6bce323e782d56ba1fbf52e8e2,541cacdef41a43ba09a99ee796820ab7f7a2c0aa56d85d884decbc67e49730ac,9fcbb1f65b7a4ab879a8d859539143d7df744dc002064a1003dc71d4f13197ac,2813,6,2686.0,3106.0,2686,2686,2714,2751,2840,3106,3106
7770498d108bbd395ef78d7b015138646a4d2360189017bb2005b57ddc8aa49e,57306ea8918aad5423bd2f6891b7899294f6b04baa2ce3afbf1459f84a91b15a,2439e79ea1cbf793d2004e6f9f03e057fc31a56d83cf45cf732460daee41ddf1,5183,7,808.0,7442.0,940,940,3766,6297,7126,7442,7442
06bb4e584e07bfaa66a43376f8f76d5be3906aa10f964fb24acbc76c244e0037,46b015b17d44b6b5f15c94f4b4505f9993d60a5e4032b31507498351239ff085,1864aed1c7d8fdbfbeb4540aa11c9f7adafab8767ce9cd6bd9909eb2b60ef391,6,558,0.0,78.0,0,0,0,0,15,46,78
4eabe712f5f72734cbf87046fd23481de28afb719d71dbe920ef652db5fb5573,ca9c1e54e414962b76b36a91f1234d274ae796a93c791a5ed9c084e406f456eb,b994a25f7089c3526f3355e0ca8c83e5b98da9e2447e2a9465c57f745418b02e,994,1435,62.0,32115.0,62,78,359,515,720,6512,32115
043f26684f3fe3f9d80bb818cb3e1d9a6fe4091f32871a97922aad22b0a6964b,9574efff3e7a2116364d65c3e3f153b4e5b289b65ba9f385444e6b26975f5307,44b3aa48ab5e26e5fccf0717e01e63357c33c19f1710149d83857d17ac3629b8,785,288,85.0,4103.0,85,90,135,729,1091,3663,4103
ccf51e739dcee171d7dc761377862013eddef063ec504312480a09d6344f8db1,ed6a23c1f68c8f3a8ce58a56ac39808948c1452cf6026117d2dcec26904fb0c6,6cc26783660ae5cb81bf4ab81a3e84179653e60a7133bffbab489c6c9e1a7427,4562,479,12.0,70333.0,12,15,123,2872,5697,51076,70333
7af3bb5406d302f25079af17d1bbab50a16aaf2de266dbff34ef73bc2146b437,2379fdf6e0a2ae6f7fd0be0efea7e97cfb0c532ff66b6f1c2a49898cc37a13ec,b1352f3dd9fd95b9e7c0df9464a9e6378d11a3ba1770fcc176d5ec50945baed5,16,1439,0.0,187.0,0,0,15,15,15,36,187
eb94c90ce9105dde9cc95446fc4ffe57d10b17b33d60a67663a4e8cf4d117459,0d5bd66a19a75364a20ad582f1cc055450c7e034b26ed81848654f879c84e565,d8477cb60db1e13b11a2c1468f772ffb534b0ed20e79895b055d9dfe77fe03da,240,3203,77.0,18088.0,83,126,150,171,220,1819,13468
bbeb1f0bc390e8fdbb5df04a912b8f5528c92b2755cc00291170f303aff46cb1,38dab86e96e37bee3101fe3b4cdf3b5f0328db9883282fc1b5c2db9b1aebb768,8fe9f2ae4fa78bd09c964cd754d90592c520c52eeb7909c1fb4933f27a4f8fae,137,346,0.0,2172.0,7,9,23,46,76,1567,1781
fd8a2430aa1d1b6fb9e059ff6268eabf8bbd77e68a6d5f38195a67820149b0ab,ead6d007019eeb194a900e73572e536aa814dda08552efbda8157de6e35e0a8a,326b0a304c0dc43dce757408d9570c09d66167e73a4dd2c426ed9e13f585037c,87,576,15.0,7723.0,15,15,46,46,62,328,7723
dfd6812823e62bc0aaac00933fbb3cf4a00d1cb7bf152b5f60f66eab6d8e08eb,972d9fdf5ea5696374f818e0d91cd8071c5d0a6b60ab7787bc3c908057019ee4,c9792c23b194d195bb0c3931249d59eb4108ca2045f4a137f1907f0fb259de7f,215,144,1.0,2369.0,1,1,2,2,540,1015,2369
af925451afe259cecf434bb3df2a992d25527d762d8575375490c6953a707916,3613c547e774c150ffbdb038e70848243173dcb85452f8f5cd4de0f532e19997,7a07b76f4fc02186fe4fa033b413f1281f52342329c622cc1c2785cd5d0bc292,312,144,62.0,3468.0,62,62,106,124,170,2249,3468
95dc325a4a22f2d6368e04c54265752aad1ef0207cd08ed2ffa698403f3c30b3,8ff155ca64675790a6a328868b7034999001eea2227ada86db8235c6f94f9eee,b933b6af1d1445e853d2c927e692edea2ffb45cb598be36af5db1574f6c0f5ef,124,1440,29.0,493.0,29,62,93,109,140,265,493
34288fe70afd055f9995983bd23fb0eb323c7cafa594b7688f92cf952b3ac78a,c2240cb6e5bcf36c60594d9a04e8a56b0d4d9ca0b493315948cab01306e0e4b6,17b5361f8f1936c3af2b97104f584da3287985db6b74d09a48f6a512c75fa6a0,94,1310,14.0,1964.0,15,17,35,57,116,565,1404
5a188da878112f5e561cb799a8f8c139f842180697cc5c3aaeadd0fefc45906f,08d3a654794cf1c4b124c05b90f7a267d564a9fa8acbecdeb0342e4e55b412d6,b7c64bf8a681381d7c6913a75d1c58030fdf787c04b09ee79d425c972ab19989,95,1440,0.0,1001.0,0,0,1,1,1,967,1001
435402991b3d4f6fa58a142b1135b696621167589cee02ab80f732e63a17e752,9382c1aaa07f9e63efca184120ea83d18d5b976b1572ad22d908ab9e4d9aaebc,34ff74cd17b94e0948e550f0f592abb067300b4d0a562e2666330bedd4ad8b8a,23518,24,19425.0,30748.0,19425,19425,20256,22445,25954,30748,30748
e66d525b0b03afec69f923e2a2e0c2bb6476d4d4ea29ab09dc45ddef51d06b31,11d8ead2e03f672be375efafcdca088433ca29b6e9ced39989cb8e71bfa2c974,eb919bc54f8f84ba295e3a5624517d1ebd3d6c85cdc69352f121834702e026d6,442,128,6.0,6233.0,6,6,15,32,338,4060,4140
fd7fc2b625581e420bbc6357a27f7dd2bb5eb97531dee13a923cd498b7b537fc,4c3dd558ebc880648bf92e7586c2129f19ed5e749defee2ea94c023c716bb15d,53183b674b2299cfc9eb1cb75dc9291971ff3bb708069479a764af065e70f469,3715,24,875.0,7765.0,875,875,2222,3161,4637,7765,7765
9edb01447605394005664fc11c299d95f608c4b5a9ee3077fff8aa2903bc8147,aaac1885a327e11e8314a9593a45cb7fd31005407135a37a99dc5a0e2e9e89ca,f5075844195b9181425b7e033558f92dcf70f712b99dc93b8cb55a6054c0fbd3,5,40,0.0,29.0,0,0,0,0,9,29,29
f92425b09ca258ceb7b6fa1698242eb2bfb06227494ea98bef83ad4e33ee0201,0d255b3bbb644c12363e9ed270f79c6fbff87f3b5c5d38f4f04e07f6282d0b1a,e52647e6ac60a627a80ccfd15f2d222535dfc8ecb3c70c3ce8ca7f222c662cbc,281,3,22.0,452.0,196,196,196,196,452,452,452
5537222b33f7b59a0450ab88b8bffdbdf3d9307cf4359d0a74e022ce3ed74daf,4b05f738540108d0269b700201cb41e3999dec14099a475e348a0dbc76fa417c,398ff94a81a6eea8e999fb0f5831caa31e861d6426e7e3bb105ef14a412d957a,8414,883,141.0,116052.0,162,203,615,2925,7048,76337,116052
ce7c8e242f1fd2c39ac500a64fdd10633fed6ec0707cd527d91baa6ec6ef89b0,9bcdc09cd4f51e9a386fa6446a368075ab1d3826daeb74ee9df2f61d9206b422,cb4f5029590dca2f2b697e7d2ab363f221720b20180523c5e37fba2520d39ed6,18,1439,0.0,471.0,0,0,15,15,19,100,471
c25061a98a0cdeaa3641a41d0562fb7132b16aa357d5294d9a60db667fdab169,452b081762a85e5b64ed76ae449f8fcb4995a335d76d69c2ca376154fc167483,c9f6e8187913cd6e2d668a249f4167041b6376b05b04ecf226401ae993617e57,1258,5760,1045.0,3701.0,1059,1087,1176,1225,1297,2054,2474
edfecd92a50a0675d4f74b6fd763848b70c3cbaf2287b454bc1da9ce8d855759,f641fb42baa41e13abc542a808f19a2c4109d6f8ff9877272824e62b9b9eb08e,a458ee86b9c4d6abafbe0f267b89b51e15cf32c581b8a846c06035dfbac57b05,326,83563,84.0,100066.0,142,156,228,289,382,824,3893
d49a91b96452c8102c4d2f18647f0503f5bd78c8d9110c60795654c58fbc4fea,8e2c2c8497cab91ae22f6d3fc74a5a749130445d0548e8f45368f3fa31b5a5f8,b3543c1d08ef66ff13e0df698e0e9615e4a497ace232c3715779151427fe15d5,147,159519,74.0,41773.0,80,99,113,123,139,473,39915
79ed09dc514b430b7a440f405147ce153c4fcd687e8107ea83eda40e4cd0d604,375444c8e9740af42002573e73ee3ba4963e43182bdace1156011f99adff1be3,b2b015b52e674b908b7f7333706efd5b9532a4ee853d95ce6e9b0bedb66c8d8f,50,1430,15.0,406.0,15,30,31,46,62,187,406
d88a27df3d4c5813aed3679840123897591444d276e112e304f3c32fa91c74f1,2b9f408988d9c059ac1dc4d28805bf82c4ad2fd16e16692e305aa234447b2c3c,12a1c3ef1fc24b7ab3fca0c2418014f4c6d37dce507d595341fda219e32131e2,99,5098,36.0,6537.0,42,49,62,70,99,308,5607
fce3df39cc253427e6ae74f2fc7bc9db2c0433024274915d80d602380d8e04a6,7051fa9c1b5e09d7905b7c6e2d996998107c0bc48c91bb0f859ebed0b000a97a,0c254329b5f49e169e0f2a3d1061f8faff1bdfa50a86be3b574d6e0d1f6eee14,32435,144,2640.0,82701.0,2640,2796,17864,31397,44453,66493,82701
fce3df39cc253427e6ae74f2fc7bc9db2c0433024274915d80d602380d8e04a6,7051fa9c1b5e09d7905b7c6e2d996998107c0bc48c91bb0f859ebed0b000a97a,c924118da1a6de0063acf9cf172b2325a65fe87e0466ddcb5f964edfaad4bfb8,33328,144,299.0,81609.0,299,1390,18704,32371,45042,74932,81609
0c9829ac2082a564a19d0ef920cfd576aa050fd693a34c2bfb695f64a4816255,b6ee2c3328157033a45d6ec555d27485f6d34917829ea3845a75422bcaf5d973,7c56374fdc9052612ffcf0a8391ad64c96cd82394e9052b0b1035001ec0686d9,2,4338,0.0,764.0,0,0,1,1,1,7,586
e8e56ba84498ec7e4acecfbd824587a399e47592cf9388a45419712de931a3a3,66304569269ba87c82d25854774f7847179f95d8897e07455f383f8c3df7ffbb,8c3ba8c34904b078ed64a795ea6348c1392852d2e18ea089aa1aa004b9a2c20a,70452,24,5152.0,113316.0,5152,5152,58297,71185,92616,113316,113316
d27faf5a98d40a6ba2ff08c0063b11ef34993c5f29d2f8d69647d043c3b4b26f,5d09e27dfc4fb33e20bb4a01737ed8148314936daf691d3574e528dffdba797e,4cd72352e1dce1401011a52a6df4bcab4d3d3f6bfed28f7bddff264335575e01,1350,24,907.0,1809.0,907,907,1202,1328,1535,1809,1809
fbb5f367c581476a53a186c0b542d146073bed7a0d84567b10077bc3354a3cf0,ed41bf82dc3ad660ebde799fa9a845e193bd32584d895f5b5a76609211485c38,8e1c086aee554e25a173030d11cbcd0596d3a1ed498a156e1d3fbb6eade79d4b,109715,96,71355.0,186515.0,71355,71355,83429,107167,128849,186515,186515
dd8f6d548246e9a0cc97a8ded96b56edca5a6be65906ef57efb834ec21fbdc87,bbb6e44d7605cc575b5ccdeb73da76d2ad173c27d39171a96ace8d68517f515f,56269cca8f91ba39bab62d264e7e744db6327a66296859fe14a40fb9272bf1ab,741,24,165.0,6757.0,165,165,196,228,303,6757,6757
75332cfa303ef7f7367c7f8f9aa7c9f5bc446fc04993a26b1e67311378690cc2,5a65d31612d1081353bfce359690d9e58e5c78032f4d1d2895092fba6ee9983a,9a060be202faaff1529a7c47e4ceb52309e58c2973bf2d813338113be88dce58,12394,24,1031.0,100558.0,1031,1031,1328,1766,21536,100558,100558
426bb2ee80d370940aee9f2545ecc83dfd4cb86d3f2794245e29d182f55b6624,6c6d38b47e6363b7d2727aaee904920930f6cc5c9d6e69ef507bd1887ca22f29,80b613da9d45d3cc6dec16f716b1ff382512bb91354564245b5f22bc3e45c03c,16494,24,10193.0,25349.0,10193,10193,11982,15044,21055,25349,25349
85d593148f30200455e483fc5f4957e2b778bb5227a9daba3b7a44e591051967,f120311511a4af60d3844ff0307bda8960e495fc5951e5ef9e8d1280f45196c3,23e6eb269f4b8f405d773bd5e2ea24df2a6685287cd123c1a23717f85c9fd58e,51,48,0.0,754.0,0,0,0,0,19,754,754
3255dc71d02271f80871546e54244d8963f25c45000d50c12ab37bcde22bf13b,e9e104a448c11013b250fefdcf71f90f434ea837d31c92dbb39b59bc836e7842,09aec0fe39f84b7bc95f66961f96d71389af9584fab1d051093609cbb51c701f,6706,30,130.0,16459.0,130,130,1681,4001,11669,16459,16459
